"id" "long" "lat" "order" "hole" "piece" "group" "key_new" "V1" "V2" "key_orig" "LAD13CD" "LAD13CDO" "LAD13NM" "LAD13NMW" "CENTROIX" "CENTROIY" "row" "col"
"1" "1" -2.11013422 53.63608846 1 FALSE "1" "1.1" "-2.04408211572306_53.5979532566439" -2.04408211572306 53.5979532566439 "-2.05061027_53.55185116" "E08000004" "00BP" "Oldham" NA -2.05061027 53.55185116 4 10
"2" "1" -2.04408212 53.67422366 2 FALSE "1" "1.1" "-2.04408211572306_53.5979532566439" -2.04408211572306 53.5979532566439 "-2.05061027_53.55185116" "E08000004" "00BP" "Oldham" NA -2.05061027 53.55185116 4 10
"3" "1" -1.97803001 53.63608846 3 FALSE "1" "1.1" "-2.04408211572306_53.5979532566439" -2.04408211572306 53.5979532566439 "-2.05061027_53.55185116" "E08000004" "00BP" "Oldham" NA -2.05061027 53.55185116 4 10
"4" "1" -1.97803001 53.55981805 4 FALSE "1" "1.1" "-2.04408211572306_53.5979532566439" -2.04408211572306 53.5979532566439 "-2.05061027_53.55185116" "E08000004" "00BP" "Oldham" NA -2.05061027 53.55185116 4 10
"5" "1" -2.04408212 53.52168285 5 FALSE "1" "1.1" "-2.04408211572306_53.5979532566439" -2.04408211572306 53.5979532566439 "-2.05061027_53.55185116" "E08000004" "00BP" "Oldham" NA -2.05061027 53.55185116 4 10
"6" "1" -2.11013422 53.55981805 6 FALSE "1" "1.1" "-2.04408211572306_53.5979532566439" -2.04408211572306 53.5979532566439 "-2.05061027_53.55185116" "E08000004" "00BP" "Oldham" NA -2.05061027 53.55185116 4 10
"7" "1" -2.11013422 53.63608846 7 FALSE "1" "1.1" "-2.04408211572306_53.5979532566439" -2.04408211572306 53.5979532566439 "-2.05061027_53.55185116" "E08000004" "00BP" "Oldham" NA -2.05061027 53.55185116 4 10
"8" "10" -2.57249899 53.52168285 8 FALSE "1" "10.1" "-2.5064468765753_53.4835476484403" -2.5064468765753 53.4835476484403 "-2.58954298_53.52414145" "E08000010" "00BW" "Wigan" NA -2.58954298 53.52414145 10 3
"9" "10" -2.50644688 53.55981805 9 FALSE "1" "10.1" "-2.5064468765753_53.4835476484403" -2.5064468765753 53.4835476484403 "-2.58954298_53.52414145" "E08000010" "00BW" "Wigan" NA -2.58954298 53.52414145 10 3
"10" "10" -2.44039477 53.52168285 10 FALSE "1" "10.1" "-2.5064468765753_53.4835476484403" -2.5064468765753 53.4835476484403 "-2.58954298_53.52414145" "E08000010" "00BW" "Wigan" NA -2.58954298 53.52414145 10 3
"11" "10" -2.44039477 53.44541245 11 FALSE "1" "10.1" "-2.5064468765753_53.4835476484403" -2.5064468765753 53.4835476484403 "-2.58954298_53.52414145" "E08000010" "00BW" "Wigan" NA -2.58954298 53.52414145 10 3
"12" "10" -2.50644688 53.40727724 12 FALSE "1" "10.1" "-2.5064468765753_53.4835476484403" -2.5064468765753 53.4835476484403 "-2.58954298_53.52414145" "E08000010" "00BW" "Wigan" NA -2.58954298 53.52414145 10 3
"13" "10" -2.57249899 53.44541245 13 FALSE "1" "10.1" "-2.5064468765753_53.4835476484403" -2.5064468765753 53.4835476484403 "-2.58954298_53.52414145" "E08000010" "00BW" "Wigan" NA -2.58954298 53.52414145 10 3
"14" "10" -2.57249899 53.52168285 14 FALSE "1" "10.1" "-2.5064468765753_53.4835476484403" -2.5064468765753 53.4835476484403 "-2.58954298_53.52414145" "E08000010" "00BW" "Wigan" NA -2.58954298 53.52414145 10 3
"15" "2" -2.17618633 53.52168285 15 FALSE "1" "2.1" "-2.11013422441624_53.4835476484403" -2.11013422441624 53.4835476484403 "-2.06279745_53.47748276" "E08000008" "00BT" "Tameside" NA -2.06279745 53.47748276 8 6
"16" "2" -2.11013422 53.55981805 16 FALSE "1" "2.1" "-2.11013422441624_53.4835476484403" -2.11013422441624 53.4835476484403 "-2.06279745_53.47748276" "E08000008" "00BT" "Tameside" NA -2.06279745 53.47748276 8 6
"17" "2" -2.04408212 53.52168285 17 FALSE "1" "2.1" "-2.11013422441624_53.4835476484403" -2.11013422441624 53.4835476484403 "-2.06279745_53.47748276" "E08000008" "00BT" "Tameside" NA -2.06279745 53.47748276 8 6
